"price","sqft","bedrooms","baths","age","pool","style","fireplace","waterfront","dom"
115000,2205,3,2,35,0,1,0,0,38
34000,1111,3,1,35,0,1,0,0,1
400000,3133,4,3,8,0,1,1,0,51
124400,1848,3,2,8,0,1,1,0,176
155536,2348,3,2,2,0,1,1,0,44
91500,1341,3,1,18,0,1,0,0,6
170000,2076,4,3,13,0,1,0,0,107
98900,1956,3,1,35,0,1,1,0,34
57000,1393,3,1,35,0,1,0,0,90
315000,3835,3,2,63,0,1,1,0,48
113400,1960,3,2,1,0,1,0,0,218
105000,2200,3,2,25,0,1,1,0,186
102000,2376,3,1,45,0,1,1,0,91
182500,3078,4,2,35,0,1,1,0,7
98400,2037,3,2,25,0,1,0,0,26
248900,3206,4,2,13,0,1,1,0,101
243900,2457,4,2,13,1,1,1,0,9
103500,1483,3,2,18,0,1,0,0,71
33000,1579,3,1,45,0,1,0,0,32
158000,2376,3,2,1,0,1,1,0,34
440000,4411,4,3,2,1,1,1,0,20
225000,3137,4,2,5,0,1,1,0,169
97500,1358,3,2,25,0,1,1,0,35
130000,2051,3,2,25,0,1,0,0,31
68000,1342,3,1,35,0,1,0,0,380
120500,1977,3,2,2,0,1,1,0,43
55500,810,3,1,35,0,1,0,0,27
165000,1965,3,2,63,1,1,0,0,210
68500,790,1,1,18,0,1,1,0,8
128000,1958,3,2,2,0,1,1,0,49
110000,1806,3,2,18,0,1,1,0,36
168000,1601,3,2,1,0,1,1,0,168
128900,1851,3,2,8,0,1,1,0,13
109275,1150,3,2,1,0,1,0,0,3
133000,1976,4,2,35,0,1,0,0,29
75000,1303,2,1,45,0,1,0,0,329
158900,2932,4,2,1,0,1,0,0,42
270000,5814,3,3,63,0,1,1,1,3
99900,1495,3,2,25,0,1,0,0,10
258000,4020,4,3,13,0,1,1,0,114
210000,4315,4,2,25,0,1,1,0,60
127000,2011,3,2,25,0,1,1,0,18
69000,1236,3,2,35,0,1,0,0,301
90000,2411,4,2,25,0,1,0,0,75
175000,2267,4,2,25,0,1,1,0,71
137500,2905,4,2,35,0,1,0,0,26
1007000,7099,5,5,2,0,1,1,0,192
124900,1921,3,2,1,0,1,1,0,155
175900,3116,5,3,1,0,1,0,0,0
189801,3382,4,3,1,0,1,0,0,41
143900,2948,4,3,5,0,1,1,0,6
133400,2348,3,2,1,0,1,0,0,39
119000,1389,3,2,25,0,1,1,0,20
110000,1819,3,2,35,0,1,0,0,5
75000,1594,3,1,35,0,1,0,0,177
119400,1996,3,2,18,0,1,1,0,17
150000,2523,3,2,25,0,1,1,0,31
194900,3010,4,2,1,0,1,0,0,114
42000,1489,3,1,35,0,1,0,0,12
118900,1872,4,2,25,0,1,0,0,8
175000,3756,4,2,35,0,1,0,0,118
64900,1970,4,1,35,0,1,1,0,70
73500,1266,3,1,35,0,1,0,0,25
139900,4130,4,2,45,0,1,0,0,15
98000,1680,3,1,35,0,1,0,0,70
130000,1296,3,2,18,0,1,1,0,60
137900,1595,3,2,25,0,1,0,0,31
123200,2087,3,2,1,0,1,0,0,0
190000,3264,3,2,18,1,1,1,0,5
121000,1952,3,2,8,0,1,1,0,68
116000,1843,3,2,18,0,1,0,0,5
72500,1203,3,1,35,0,1,0,0,6
189900,1936,3,2,45,0,1,1,0,11
99000,1467,3,2,18,0,1,1,0,78
144500,2122,4,2,2,0,1,0,0,110
136200,2418,4,2,1,0,1,0,0,0
134900,2403,3,2,25,0,1,1,0,80
60000,1131,3,1,63,0,1,0,0,0
161000,2420,3,2,1,0,1,1,1,447
125000,1912,3,2,45,0,1,0,0,8
110000,1945,3,2,25,0,1,1,0,44
76000,1433,3,1,35,0,1,0,0,220
22654,1080,2,1,63,0,1,0,0,8
76000,1178,3,1,35,0,1,0,0,44
260000,3052,3,2,8,0,1,1,1,33
133800,2418,4,2,1,0,1,0,0,0
335000,3060,3,2,45,0,1,0,0,7
246000,2666,3,2,45,0,1,1,0,10
164900,2669,4,2,25,0,1,1,0,9
87000,1974,3,1,35,0,1,0,0,387
110000,2739,5,3,35,0,1,0,0,15
208000,3157,3,2,18,0,1,1,0,21
163600,2717,4,2,1,0,1,0,0,0
77500,1330,3,1,25,0,1,0,0,28
617000,5673,4,4,25,1,1,1,1,46
62500,1440,2,2,25,0,1,1,0,113
135000,3029,3,2,25,0,1,1,0,56
164300,2980,4,2,1,0,1,0,0,134
117500,1979,3,2,8,0,1,1,0,22
192500,2681,3,2,8,0,1,1,1,56
70500,1376,3,1,35,0,1,0,0,139
135000,1914,3,2,2,0,1,0,0,35
295000,3731,4,3,18,0,1,1,1,77
355000,4325,4,3,5,0,1,1,0,9
230000,3168,4,2,8,0,1,0,0,30
127000,2009,3,2,35,0,1,1,0,112
85000,2072,4,2,25,0,1,1,0,11
265000,4688,4,3,63,0,1,1,0,139
98500,1460,3,2,25,0,1,0,0,8
97900,2419,3,2,18,0,1,0,0,46
173000,2532,4,2,63,0,1,0,0,1
66000,1589,3,2,25,0,1,0,0,11
95000,2041,3,2,45,0,1,0,0,42
135900,1405,3,2,1,0,1,0,0,51
122900,2312,3,2,2,0,1,0,0,7
221000,3039,4,2,1,0,1,1,0,223
275000,4681,4,4,25,1,1,1,0,53
119900,2645,3,1,35,0,1,1,0,7
254000,3122,4,3,8,0,1,1,0,33
181900,2985,4,2,1,0,1,0,0,0
134000,2086,3,2,1,0,1,1,0,3
137800,2373,4,2,25,0,1,0,0,86
115900,2554,3,2,45,0,1,1,0,162
